,Title,Event Number,Report Count,Event Date,Newsroom,Description,Detailed Description,Short Introduction,Risk to Human Rights,instances with privacy violations,privacy sensitivity,privacy violations severity,instances with injustice to rights,Severity of injustice,instances involving vulnerable groups,emotional and psychological harm,vulnerable groups affected,cases where harm is reversible,affected by challenges to self-identity and values,Severity of emotional and psychological harm,instances where the harm persists,Physical harm,Severity of Physical harm ,instances where the physical harm persists,cases where the physical harm is reversible,instances where the harm is easily detectable,Economic loss,instances where economic losses persist,the severity of economic impact,extent of impact is fixed,affected individuals,affected local population,global implications,Whether humans can be replaced,Whether there is a law to regulate,AI-based specificity,cases affected by untimely data training and maintenance,cases affected by opaque and recurring weak capacities,cases affected due to limitations of traditional supervisory methods,lifecycle time period-planning and design,lifecycle time period-collection and processing data,lifecycle time period-building usage model,lifecycle time period-verification and verification,lifecycle time period-deployment ,lifecycle time period-Operation and Monitoring,lifecycle time period-End User Use and Impact,Geographical Attributes-Timeliness,Geographical Attributes-Accuracy,Data Production Process -Acquisition,Data Production Process-Preprocessing,Data Production Process-Integration,Data Production Process-Storage and Management,Data Production Process-Analysis and Processing,Data Production Process-Application Communication
10,特斯拉自动驾驶仪上睡觉的司机,67,24,2018-12-01,肖恩麦格雷戈,描述：一辆 Tesla Model S 在由一名醉酒、睡着的操作员操作时保持自动驾驶，他的手没有放在方向盘上。警察不得不在车辆前面减速以激活其“驾驶员辅助”功能，从而使汽车减速。,2018 年 11 月，一辆特斯拉 Model S 在加州高速公路上以 70 英里/小时的速度继续自动驾驶，尽管驾驶员的手没有放在方向盘上，这是启用自动驾驶系统的要求。加州公路巡逻队无法叫醒司机，不得不在特斯拉前面行驶了大约 7 分钟，以激活其“驾驶员辅助”功能并将车辆减速至停下来。据称司机当时正在睡觉，他的血液酒精含量是法定上限的两倍。,一辆特斯拉 Model S 由一名醉酒、睡着的操作员操作，他的手没有放在方向盘上，但仍处于自动驾驶状态。警察不得不在车辆前面减速以激活其“驾驶员辅助”功能，从而使汽车减速。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,False,True,False,False,Potential hazard with zero or negligible risk,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False
11,安保机器人在喷泉中溺水身亡,68,30,2017-07-17,肖恩麦格雷戈,描述：Knightscope K5 安全机器人自行冲入华盛顿特区的一个喷泉。,华盛顿特区一栋办公楼里的一个机器人跑进了一个喷泉。这款名为 Knightscope K5 的机器人是作为安全机器人开发的，它使用面部识别和各种传感器来检测罪犯。机器人掉进喷泉的原因尚不清楚。,一个 Knightscope K5 安全机器人跑进了华盛顿特区的一个喷泉。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,True,False,True,False,some potential damage,False,False,Potential hazard with zero or negligible risk,False,False,False,True,False,Routine or Significant Potential Damage,True,True,False,True,True,False,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False
12,冬季自动驾驶汽车,70,4个,2016-02-10,肖恩·麦格雷戈，柯林,描述：沃尔沃自动驾驶XC90 SUV在瑞典Jokkmokk遇到了问题，当时用于自动驾驶的传感器在冬天结冰，导致它们无法使用。,沃尔沃自动驾驶 XC90 SUV 在瑞典 Jokkmokk 遇到了问题，当时用于自动驾驶的传感器在冬天结冰，导致它们无法使用。作为回应，沃尔沃将传感器移到了挡风玻璃后面，这样挡风玻璃刮水器就可以在冬季擦去冰雪。,沃尔沃自动驾驶 XC90 SUV 在瑞典 Jokkmokk 遇到了问题，当时用于自动驾驶的传感器在冬天结冰，导致它们无法使用。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False
13,谷歌承认其自动驾驶汽车犯了错误,71,28,2016-09-26,肖恩·麦格雷戈，柯林,描述：2016 年 2 月 14 日，一辆谷歌自动驾驶测试车在谷歌家乡加利福尼亚州山景城的 El Camino Real 上与一辆公共汽车发生低速碰撞，部分责任归咎于此。,2016 年 2 月 14 日，一辆谷歌自动驾驶测试车在谷歌家乡加利福尼亚州山景城与一辆公共汽车发生低速碰撞。这辆自动驾驶汽车是一辆雷克萨斯 RX450h SUV，它试图通过向 El Camino Real 一条宽车道的中间并入来绕过障碍物，而一辆公共汽车正从后面驶来。汽车及其测试司机预计公交车会减速并允许并道，但公交车继续行驶，显然没有预料到自动驾驶汽车会尝试并道，从而导致低速碰撞。在一份公开声明中，谷歌承认该事件有部分过错，并更新了他们的软件，假设大型车辆不太可能让路。,2016 年 2 月 14 日，一辆谷歌自动驾驶测试车在谷歌家乡加利福尼亚州山景城的 El Camino Real 上与一辆公共汽车发生低速碰撞，部分责任归咎于此。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,True,True,False,Routine or Significant Potential Damage,True,False,True,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False
14,特斯拉 Autopilot 将旗帜上的红色字母误认为是红色交通灯,97,1个,2020-10-22,肖恩·麦格雷戈，柯林,描述：一辆特斯拉 Model 3 将竖写“COOP”的旗帜误认为是交通灯。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,True,False,True,False,False,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False
15,自动驾驶的特斯拉 Model 3 撞上了一辆福特探索者皮卡，在加利福尼亚杀死了一名 15 岁的孩子,105,1个,2019-08-24,肖恩·麦格雷戈，柯林,描述：一辆处于自动驾驶模式的特斯拉 Model 3 在加州高速公路上撞上了一辆皮卡车，该公司的数据和视频显示，直到撞车前几秒，自动驾驶模式和司机都没有让车辆减速。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,,False,True,False,False,False,Routine or Significant Potential Damage,True,True,Unsustainable Potential Damage,True,False,True,True,True,serious potential Damage,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
16,据报道，自动驾驶的特斯拉轿车在华盛顿驶过分隔路缘，导致轻微车辆损坏,128,2个,2017-08-01,肖恩·麦格雷戈，柯林,描述：在华盛顿州雷德蒙德，一辆以自动驾驶模式运行的特斯拉轿车无法在道路中央行驶，驶过黄色的分隔路缘，对车辆的后悬架造成轻微损坏。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,True,False,True,False,some potential damage,True,False,Potential hazard with zero or negligible risk,False,False,False,True,True,Routine or Significant Potential Damage,True,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,False,True,True,True,True,False,True,False
17,中国商场机器人从自动扶梯上掉下来，撞倒乘客,134,2个,2020-12-25,肖恩·麦格雷戈，柯林,描述：视频显示福州中方万宝路商场部署的导购机器人涉嫌自行走向自动扶梯，摔倒撞倒乘客，导致其停运。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,False,True,True,True,Routine or Significant Potential Damage,True,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,True,True,True,False,False,True,False
18,特斯拉的自动驾驶仪将月亮误认为是黄色停车灯,145,3个,2021-07-23,肖恩·麦格雷戈，柯林,描述：特斯拉的 Autopilot 在视频中显示其所有者将月亮误认为是黄色停车灯，据称导致车辆不断减速。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,False,Potential hazard with zero or negligible risk,False,False,False,True,True,some potential damage,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,True,True,True,False,False,True,False
19,加利福尼亚州监管机构在非致命碰撞后暂停了 Pony.ai 的无人驾驶测试许可证,151,10,2021-10-28,肖恩·麦格雷戈，柯林,描述：一辆以自动模式运行的 Pony.ai 车辆在旧金山撞上了中央分隔线和交通标志，促使监管机构暂停了该初创公司的无人驾驶测试许可证。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,True,False,True,True,True,Routine or Significant Potential Damage,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,True,True,False,True,False
20,自动驾驶仪上的特斯拉司机闯红灯，撞上一辆汽车并在洛杉矶杀死两人,153,4个,2019-12-29,夸林,描述：据报道，2019 年，一名处于自动驾驶模式的特斯拉 Model S 司机在洛杉矶加迪纳闯红灯并撞上一辆本田思域，造成两人死亡。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,True,False,False,False,Unsustainable Potential Damage,True,True,Unsustainable Potential Damage,False,False,True,True,False,Unsustainable Potential Damage,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True
21,谷歌地图据称在冬季风暴期间将内华达山脉的旅行者引导至危险的道路,155,2个,2021-12-27,肖恩·麦格雷戈，柯林,描述：据称在暴风雪期间，谷歌地图将太浩湖旅行者引导至山区的危险捷径。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,True,False,True,False,Routine or Significant Potential Damage,True,True,Routine or Significant Potential Damage,False,False,True,False,False,Potential hazard with zero or negligible risk,True,True,False,False,False,False,True,True,False,True,False,True,True,True,False,True,False,False,True,True,False,False,True,False,False
22,特斯拉自动驾驶仪的车道识别据称容易受到对抗性攻击,159,1个,2019-03-29,肖恩·麦格雷戈，柯林,描述：腾讯科恩安全实验室对特斯拉的 Autopilot 系统进行了安全研究，发现精心制作的对抗样本和通过无线游戏手柄进行远程控制是其系统的漏洞，尽管该公司质疑它们在现实世界中的实用性。此事件已降级为问题，因为它不符合当前的摄取标准。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,True,False,False,False,False,Potential hazard with zero or negligible risk,True,False,True,False,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False
23,据称 Cruise 自动驾驶出租车在旧金山被拦下后被警察拦下,175,5个,2022-04-01,肖恩·麦格雷戈，柯林,描述：一辆由 Cruise 驾驶的自动雪佛兰 Bolt 在旧金山被拦下，据报道，当警察试图与汽车交战时，它突然熄火，再次靠边停车，并在路边更远的地方打开危险警示灯.,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,False,False,False,Potential hazard with zero or negligible risk,True,True,False,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False,True,True,True,True,False,True,False
24,Starship 的自动送餐机器人据称被困在俄勒冈州的铁路道口，被货运列车碾过,176,1个,2022-03-02,肖恩·麦格雷戈，柯林,描述：据报道，俄勒冈州立大学部署的 Starship 送餐机器人未能通过铁路，因此被困，最终被迎面而来的货运列车撞倒。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,True,True,False,Routine or Significant Potential Damage,True,True,False,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True,False,True,False
25,特斯拉车主启动“智能召唤”功能，在华盛顿机场与飞机相撞,178,8个,2022-04-21,肖恩·麦格雷戈，柯林,描述：视频显示一辆特斯拉 Model Y 在华盛顿州斯波坎市慢慢撞上一架 Vision Jet，据称是因为车主激活了“智能召唤”功能。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,True,True,False,Routine or Significant Potential Damage,True,True,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False
26,宝马轿车禁止左转，与巡航自动驾驶汽车相撞,181,2个,2022-02-11,肖恩·麦格雷戈，柯林,描述：据报道，一辆 BMW 轿车非法左转，与一辆以自主模式运行的 Cruise 自动驾驶汽车 (AV) 发生轻微碰撞，但无人受伤。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,True,True,True,Routine or Significant Potential Damage,True,True,False,False,True,False,True,True,False,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,False
27,两辆巡航自动驾驶汽车在加州相撞,182,2个,2018-06-11,肖恩·麦格雷戈，柯林,描述：在旧金山，一辆自动驾驶的 Cruise 雪佛兰 Bolt 与另一辆由 Cruise 员工驾驶的 Cruise 车辆相撞，造成车辆轻微磨损，但没有造成人员伤亡。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,True,True,True,Routine or Significant Potential Damage,True,True,False,False,True,False,True,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False
28,YouTuber 在自动驾驶模式下测试特斯拉，与街道塔相撞,187,3个,2022-02-04,肖恩·麦格雷戈，柯林,描述：一名曾是特斯拉员工的 YouTuber 对特斯拉的全自动驾驶 (FSD) Beta 进行了路测，展示了其在圣何塞各种道路环境中的导航以及在 Autopilot 期间与护柱的碰撞，据称导致他被公司解雇.,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,False,True,False,False,Potential hazard with zero or negligible risk,True,True,False,False,False,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True
29,特斯拉幻影刹车投诉激增，据称与特斯拉愿景的推出有关,208,8个,2021-05-01,夸林,描述：2021 年底，特斯拉车主向美国国家公路交通安全管理局投诉突然意外自动刹车的投诉迅速增加，恰逢其 Model 3 和 Model Y 车辆不再配备雷达。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,serious potential Damage,False,False,True,False,False,Potential hazard with zero or negligible risk,True,False,True,False,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,True,True,True,False,True,False
30,特斯拉禁用了与“激进”驾驶模式相关的“滚动停止”功能,209,5个,2020-10-20,夸林,描述：通过特斯拉固件更新发布的“激进”全自动驾驶 (FSD) 配置文件中的“滚动停止”功能被召回并禁用。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,False,True,False,False,Potential hazard with zero or negligible risk,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True,False,True,False
31,特斯拉出租车在巴黎卷入一起事故造成二十人受伤,211,7,2021-12-11,夸林,描述：在巴黎，大约 20 人在涉及特斯拉 Model 3 出租车的事故中受伤，据报道这是由突然的意外加速 (SUA) 事件和制动问题引起的。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,serious potential Damage,False,False,True,True,True,Routine or Significant Potential Damage,True,False,True,False,False,False,True,False,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,True
32,自动驾驶的特斯拉在台湾高速公路上撞上翻车,218,3个,2020-06-01,夸林,描述：在台湾的一条高速公路上，据报道在自动驾驶模式下运行的特斯拉轿车撞上了一辆翻倒的大卡车，几乎没有撞到一个行人。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,False,False,True,True,False,Routine or Significant Potential Damage,True,False,True,False,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,False,False,True,False,True
